SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Filtered Reads,Coverage
Y170090CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,1442106,0.0965573
Y170095CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,1471472,0.0988964
Y170098CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,1531247,0.102348
Y170102CAR_RA,Carson,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,1493208,0.100173
Y160002TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1541520,0.10232
Y160005TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1682535,0.111376
Y160007TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1484038,0.0986522
Y160010TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1756999,0.116583
Y160013TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1554189,0.10284
Y160014TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1685821,0.111716
Y160019TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1479959,0.09813
Y160020TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1521508,0.100845
Y160022TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1684136,0.111576
Y160023TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1460251,0.0970014
Y160025TKR_RA,Truckee,TKR,PC,TKR_Pole,Lahontan Cutthroat Trout,LCT,TRUCKEE,Pole Creek,2016,Extract,1627918,0.107823
